M,N,K,Label
803,784,1014,2
260,106,381,65
872,268,74,155
409,865,88,300
484,799,644,3
65,208,317,31
462,430,965,116
344,940,643,281
191,270,666,14
300,90,557,83
975,503,618,129
899,189,707,80
371,802,517,287
961,503,100,191
676,550,920,7
155,776,472,31
869,281,666,137
382,599,491,128
637,420,767,81
97,18,20,56
698,943,965,88
398,580,766,100
349,578,468,283
630,519,887,1
305,698,151,271
726,695,59,258
936,228,490,257
210,486,205,246
453,920,539,308
495,512,648,128
151,485,824,58
222,600,36,286
636,787,850,81
553,346,376,257
91,559,988,12
587,49,820,79
178,843,409,366
804,226,199,143
498,616,396,128
803,741,419,261
731,840,103,256
896,809,805,4
680,433,771,88
327,596,722,82
403,468,305,296
147,109,628,382
365,1016,430,286
1,442,1007,63
344,54,509,101
152,54,897,321
183,150,846,192
763,450,839,128
157,949,12,383
784,137,846,99
986,617,158,153
393,926,854,293
313,68,986,93
829,741,275,158
869,899,638,386
991,712,728,154
100,222,23,385
464,694,485,310
460,732,462,379
518,546,785,65
868,230,315,129
210,877,92,276
908,494,657,189
892,710,617,128
464,856,796,128
518,596,102,142
956,80,501,88
391,886,248,294
737,9,441,128
319,96,455,80
274,342,1014,71
927,87,71,257
1007,713,771,128
399,90,422,105
849,231,77,380
398,500,772,100
238,594,356,256
506,1020,653,128
985,81,989,87
630,564,86,63
799,333,960,21
337,842,17,305
438,880,141,304
925,212,164,138
314,56,512,100
348,330,41,281
518,999,183,259
734,416,788,93
5,117,309,321
602,403,692,77
200,252,562,128
218,871,327,321
816,951,563,265
4,153,567,308
198,868,282,336
80,503,585,24
740,21,1015,107
184,64,336,385
706,878,672,128
616,504,693,128
178,269,641,4
743,710,173,287
806,903,195,293
331,988,146,285
445,808,530,308
513,7,714,63
21,456,909,57
913,917,553,142
710,858,117,283
306,784,32,289
643,798,736,81
536,746,663,67
968,706,979,25
781,928,548,260
149,225,293,0
152,912,156,256
210,562,745,11
574,244,801,0
926,419,549,170
326,749,1008,83
212,235,644,128
264,93,138,178
562,499,439,129
570,802,563,270
975,12,897,124
805,884,699,260
95,881,741,16
263,915,449,385
986,215,248,63
691,274,1003,6
284,323,315,71
426,602,350,298
737,933,529,288
221,879,674,385
517,308,242,144
981,445,693,177
387,475,239,323
199,190,22,378
410,919,73,297
255,374,50,271
118,1007,201,386
563,372,641,128
725,190,190,129
998,733,509,129
61,946,493,322
442,471,403,321
262,837,272,267
441,749,223,306
476,332,402,384
461,152,110,379
575,413,573,320
704,1014,663,283
643,497,276,320
71,1002,149,321
843,983,825,128
1019,486,756,128
709,774,661,283
127,375,591,128
369,44,11,307
34,604,876,29
381,344,560,128
698,459,533,180
593,707,300,272
605,808,74,168
44,732,819,42
543,292,490,68
604,377,10,385
577,509,195,127
781,774,256,293
1008,593,949,128
794,598,247,379
236,574,942,64
89,628,984,256
570,958,1008,16
910,1005,1006,77
252,565,371,258
720,963,409,252
143,940,584,14
225,324,99,123
415,819,332,298
810,671,367,152
840,808,561,265
563,586,384,267
441,179,200,187
356,101,68,50
380,159,150,384
693,645,979,17
308,142,552,80
662,763,801,83
390,254,394,0
132,461,209,127
647,847,51,142
157,585,729,11
683,803,95,169
679,960,768,281
869,351,38,155
662,304,893,14
148,106,204,104
512,200,968,63
454,402,666,37
553,664,12,181
484,122,850,128
836,547,971,73
653,339,139,385
699,665,104,287
649,834,417,280
405,368,912,30
285,410,639,76
83,537,297,319
559,871,620,265
798,28,619,100
28,814,572,50
767,764,807,128
440,493,450,0
213,9,429,1
397,392,174,256
270,276,505,68
188,887,43,279
479,402,407,320
106,296,517,11
182,497,843,0
387,984,300,292
309,621,272,277
812,776,891,1
419,321,759,17
464,558,315,385
229,1007,443,320
819,292,1004,9
805,175,536,68
344,844,715,282
377,614,448,128
322,50,895,319
674,815,785,85
750,284,175,149
885,225,204,142
411,695,762,103
366,358,460,128
36,629,77,127
584,66,79,63
878,280,295,122
278,231,297,385
371,813,801,128
400,98,720,63
954,754,499,129
653,519,703,1
276,775,331,266
1001,150,231,384
819,931,373,297
206,436,586,45
186,644,685,17
597,950,67,256
239,448,874,64
651,48,473,249
1016,110,433,128
168,280,512,6
789,646,251,149
110,878,355,386
683,412,737,87
765,924,712,13
570,1006,333,266
1023,992,481,149
633,725,39,385
535,92,675,82
863,828,472,134
379,497,839,128
721,740,220,161
473,310,376,145
517,683,932,65
561,842,379,267
582,130,732,382
834,1017,967,128
341,27,973,101
946,977,341,273
907,879,108,139
10,865,336,127
1007,508,844,128
433,920,763,15
472,814,777,4
768,990,22,300
626,486,769,128
1016,849,782,128
144,92,642,144
376,259,507,1
690,96,420,382
701,1024,746,0
72,411,418,40
329,855,102,288
633,692,23,63
930,401,475,168
789,231,632,127
897,724,790,76
992,967,182,147
79,258,327,24
72,646,418,62
780,878,731,65
438,140,900,110
1000,747,203,159
499,188,494,64
337,315,192,321
779,815,871,65
447,459,537,0
185,652,988,26
186,216,977,0
424,502,405,127
608,514,550,382
271,653,162,256
849,584,836,8
584,351,478,153
475,694,267,313
640,965,862,128
527,533,1003,66
387,272,889,8
417,140,86,300
954,494,453,189
935,450,585,178
261,627,69,286
439,125,359,128
944,139,163,321
740,249,417,129
890,1016,86,150
25,90,8,185
210,499,229,258
670,120,197,63
133,976,502,19
383,892,13,309
155,946,198,126
492,138,130,62
482,939,731,15
847,619,368,257
340,737,379,279
648,706,336,280
256,609,936,128
558,981,127,386
857,870,710,128
584,813,671,73
129,876,463,318
751,511,890,128
585,91,647,81
259,356,483,63
430,539,995,108
397,284,307,7
680,577,94,224
893,656,585,148
133,315,179,385
371,85,805,99
423,542,780,106
183,299,263,18
246,582,756,128
744,1,495,381
655,299,885,13
860,890,885,128
269,626,323,211
478,362,501,128
51,696,390,317
585,800,916,74
102,901,428,13
541,198,58,129
473,97,987,119
110,933,938,53
101,27,118,89
794,554,991,7
279,607,306,271
791,621,660,14
661,759,435,277
467,856,369,312
390,570,918,8
610,469,204,183
454,322,31,161
530,109,851,73
411,260,17,379
933,212,611,373
59,951,657,0
742,899,369,288
503,363,799,128
399,598,2,62
856,79,812,108
845,101,173,63
733,281,599,7
28,891,941,50
465,916,146,312
765,388,821,34
395,485,53,295
934,467,536,182
687,878,219,285
749,931,226,289
350,189,870,90
372,908,824,93
512,316,886,64
785,817,460,135
864,311,65,160
165,149,871,384
956,494,621,129
738,27,521,384
189,110,926,128
929,833,723,137
775,33,395,385
862,422,275,171
594,762,437,272
97,272,183,43
400,88,638,106
735,389,686,92
785,273,139,123
288,751,612,266
743,319,814,64
423,1,733,382
238,326,1006,380
942,531,826,3
275,27,607,172
380,39,162,385
755,293,761,10
109,611,167,386
270,233,116,262
445,141,267,112
829,164,306,216
554,6,274,321
571,747,350,272
462,646,872,17
655,151,1008,382
777,138,125,129
961,310,383,145
435,58,129,380
694,151,849,90
458,192,952,64
172,850,33,289
118,319,42,381
27,282,832,37
237,1019,517,128
560,263,56,137
790,501,439,129
658,967,311,277
499,317,230,147
526,839,520,264
863,511,419,129
326,720,951,83
45,243,750,18
865,594,834,72
735,954,408,286
847,152,424,77
175,490,149,272
375,822,633,386
709,938,60,258
28,302,121,256
685,765,416,280
991,601,715,141
590,521,569,383
971,991,42,316
79,641,593,24
979,62,1019,64
525,452,293,179
